Trial 2| ARP = 0.8 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43   ,44   ,45   ,46  ,47  ,48  ,Alts,Egos,Alt_Freq       ,Ego_freq
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,False,True ,True ,True ,True ,False,True ,False,False,False,False,True ,True ,False,False,True ,False,False,False,False,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,19  ,20  ,0.487179487179 ,0.512820512821
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,True ,True ,True ,True ,False,True ,False,False,True ,False,False,False,True ,False,False,False,False,True ,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,    ,    ,    ,19  ,22  ,0.463414634146 ,0.536585365854
Trial 3| ARP = 0.8 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43   ,44   ,45   ,46  ,47  ,48  ,Alts,Egos,Alt_Freq       ,Ego_freq
36                 ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,18  ,0.5            ,0.5
39                 ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,False,True ,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,21  ,0.461538461538 ,0.538461538462
40                 ,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,True ,False,False,False,False,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,17  ,23  ,0.425          ,0.575
41                 ,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,True ,True ,False,False,False,False,False,False,False,True ,False,False,False,     ,     ,     ,     ,    ,    ,    ,18  ,23  ,0.439024390244 ,0.560975609756
38                 ,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,True ,True ,False,False,False,False,True ,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,20  ,0.473684210526 ,0.526315789474
37                 ,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,True ,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,16  ,21  ,0.432432432432 ,0.567567567568
36                 ,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,15  ,21  ,0.416666666667 ,0.583333333333
37                 ,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,False,False,False,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,16  ,21  ,0.432432432432 ,0.567567567568
39                 ,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,22  ,0.435897435897 ,0.564102564103
34                 ,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,True ,False,False,False,True ,False,False,False,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,16  ,18  ,0.470588235294 ,0.529411764706
33                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,14  ,19  ,0.424242424242 ,0.575757575758
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,18  ,22  ,0.45           ,0.55
43                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,False,False,False,False,False,False,False,True ,True ,True ,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,    ,    ,    ,18  ,25  ,0.418604651163 ,0.581395348837
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,False,False,False,False,True ,True ,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,20  ,0.459459459459 ,0.540540540541
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,True ,True ,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,18  ,0.485714285714 ,0.514285714286
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,20  ,0.459459459459 ,0.540540540541
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,False,False,False,False,False,False,False,False,True ,False,False,False,True ,True ,True ,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,21  ,17  ,0.552631578947 ,0.447368421053
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,True ,False,False,True ,True ,True ,False,False,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,21  ,19  ,0.525          ,0.475
