Trial 2| ARP = 0.9 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43  ,44  ,Alts,Egos,Alt_Freq       ,Ego_freq
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,    ,    ,38  ,0   ,1.0            ,0.0
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,    ,    ,35  ,0   ,1.0            ,0.0
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,    ,    ,40  ,0   ,1.0            ,0.0
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,    ,    ,39  ,0   ,1.0            ,0.0
42                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,    ,    ,42  ,0   ,1.0            ,0.0
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,    ,    ,37  ,0   ,1.0            ,0.0
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,    ,    ,35  ,0   ,1.0            ,0.0
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,    ,    ,38  ,0   ,1.0            ,0.0
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,    ,    ,39  ,0   ,1.0            ,0.0
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,    ,    ,37  ,0   ,1.0            ,0.0
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,    ,    ,37  ,0   ,1.0            ,0.0
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,    ,    ,39  ,0   ,1.0            ,0.0
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,    ,    ,38  ,0   ,1.0            ,0.0
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,    ,    ,39  ,0   ,1.0            ,0.0
42                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,    ,    ,42  ,0   ,1.0            ,0.0
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,    ,    ,40  ,0   ,1.0            ,0.0
33                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,33  ,0   ,1.0            ,0.0
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,    ,    ,39  ,0   ,1.0            ,0.0
Trial 3| ARP = 0.9 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43  ,44  ,Alts,Egos,Alt_Freq       ,Ego_freq
36                 ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,    ,    ,18  ,18  ,0.5            ,0.5
38                 ,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,True ,True ,     ,     ,     ,     ,    ,    ,20  ,18  ,0.526315789474 ,0.473684210526
38                 ,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,True ,True ,False,False,True ,False,True ,     ,     ,     ,     ,    ,    ,22  ,16  ,0.578947368421 ,0.421052631579
36                 ,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,False,False,True ,True ,False,     ,     ,     ,     ,     ,     ,    ,    ,24  ,12  ,0.666666666667 ,0.333333333333
35                 ,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,False,True ,True ,False,False,True ,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,24  ,11  ,0.685714285714 ,0.314285714286
38                 ,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,True ,True ,False,False,True ,False,False,False,False,True ,False,True ,True ,     ,     ,     ,     ,    ,    ,27  ,11  ,0.710526315789 ,0.289473684211
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,False,False,False,False,False,True ,False,True ,True ,False,True ,False,False,False,False,False,     ,     ,    ,    ,26  ,14  ,0.65           ,0.35
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,True ,True ,True ,False,False,False,True ,True ,True ,False,True ,False,     ,     ,     ,     ,    ,    ,30  ,8   ,0.789473684211 ,0.210526315789
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,False,False,False,True ,True ,False,True ,False,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,25  ,11  ,0.694444444444 ,0.305555555556
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,False,True ,True ,True ,False,False,False,True ,False,False,True ,True ,False,False,     ,     ,     ,     ,    ,    ,28  ,10  ,0.736842105263 ,0.263157894737
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,False,True ,True ,True ,False,False,True ,False,False,True ,True ,False,False,False,True ,     ,     ,     ,    ,    ,29  ,10  ,0.74358974359  ,0.25641025641
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,False,True ,True ,True ,False,False,True ,True ,True ,False,True ,True ,True ,True ,True ,False,True ,     ,    ,    ,34  ,7   ,0.829268292683 ,0.170731707317
42                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,False,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,    ,    ,37  ,5   ,0.880952380952 ,0.119047619048
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,True ,True ,     ,    ,    ,38  ,3   ,0.926829268293 ,0.0731707317073
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,True ,False,     ,     ,     ,     ,     ,     ,    ,    ,33  ,3   ,0.916666666667 ,0.0833333333333
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,True ,True ,False,     ,     ,     ,    ,    ,36  ,3   ,0.923076923077 ,0.0769230769231
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,True ,False,True ,True ,False,False,False,     ,    ,    ,35  ,6   ,0.853658536585 ,0.146341463415
